Longitude,Latitude,Pixel,Scan
162.820702,21.4998525,2200,500
162.800299,21.5006015,2300,500
162.779895,21.5013481,2400,500
162.75949,21.5020921,2500,500
162.739084,21.5028337,2600,500
162.718677,21.5035729,2700,500
162.698269,21.5043095,2800,500
162.677859,21.5050438,2900,500
162.657449,21.5057755,3000,500
162.637037,21.5065048,3100,500
162.616623,21.5072317,3200,500
162.596207,21.5079561,3300,500
162.57579,21.5086781,3400,500
162.555371,21.5093976,3500,500
162.53495,21.5101147,3600,500
162.514527,21.5108294,3700,500
162.494102,21.5115416,3800,500
162.473675,21.5122514,3900,500
162.453449,21.5129517,3999,500
163.268846,21.4665977,0,600
163.248435,21.4674025,100,600
163.228026,21.4682047,200,600
163.207617,21.4690044,300,600
163.187211,21.4698015,400,600
163.166805,21.4705961,500,600
163.146401,21.4713881,600,600
163.125997,21.4721775,700,600
163.105595,21.4729645,800,600
163.085193,21.4737489,900,600
163.064792,21.4745308,1000,600
163.044392,21.4753101,1100,600
163.023992,21.4760869,1200,600
163.003592,21.4768613,1300,600
162.983193,21.4776331,1400,600
162.962794,21.4784024,1500,600
162.942395,21.4791692,1600,600
162.921997,21.4799335,1700,600
162.901598,21.4806953,1800,600
162.881198,21.4814546,1900,600
162.860799,21.4822114,2000,600
162.840399,21.4829657,2100,600
162.819998,21.4837176,2200,600
162.799597,21.484467,2300,600
162.779196,21.4852139,2400,600
162.758793,21.4859583,2500,600
162.738389,21.4867003,2600,600
162.717985,21.4874398,2700,600
162.697579,21.4881768,2800,600
162.677172,21.4889114,2900,600
162.656764,21.4896435,3000,600
162.636354,21.4903732,3100,600
162.615942,21.4911005,3200,600
162.595529,21.4918252,3300,600
162.575115,21.4925476,3400,600
162.554698,21.4932675,3500,600
162.534279,21.493985,3600,600
162.513859,21.4947,3700,600
162.493436,21.4954126,3800,600
162.473011,21.4961228,3900,600
162.452787,21.4968235,3999,600
163.267999,21.4503122,0,700
163.24759,21.4511164,100,700
163.227183,21.451918,200,700
163.206777,21.4527171,300,700
163.186373,21.4535137,400,700
163.165969,21.4543077,500,700
163.145567,21.4550991,600,700
163.125166,21.4558881,700,700
163.104766,21.4566744,800,700
163.084367,21.4574583,900,700
163.063968,21.4582396,1000,700
163.04357,21.4590184,1100,700
163.023172,21.4597947,1200,700
163.002775,21.4605685,1300,700
162.982378,21.4613398,1400,700
162.961982,21.4621085,1500,700
162.941585,21.4628748,1600,700
162.921188,21.4636386,1700,700
162.900792,21.4643998,1800,700
162.880395,21.4651586,1900,700
162.859998,21.4659149,2000,700
162.8396,21.4666687,2100,700
162.819202,21.46742,2200,700
162.798803,21.4681689,2300,700
162.778404,21.4689153,2400,700
162.758003,21.4696592,2500,700
162.737602,21.4704006,2600,700
162.7172,21.4711396,2700,700
162.696796,21.4718762,2800,700
162.676391,21.4726102,2900,700
162.655985,21.4733419,3000,700
162.635578,21.474071,3100,700
162.615169,21.4747978,3200,700
162.594758,21.4755221,3300,700
162.574345,21.4762439,3400,700
162.553931,21.4769633,3500,700
162.533515,21.4776803,3600,700
162.513096,21.4783948,3700,700
162.492676,21.479107,3800,700
162.472253,21.4798166,3900,700
162.452032,21.4805169,3999,700
163.267212,21.4341725,0,800
163.246805,21.4349768,100,800
163.2264,21.4357785,200,800
163.205996,21.4365777,300,800
163.185594,21.4373744,400,800
163.165193,21.4381685,500,800
163.144793,21.43896,600,800
163.124395,21.439749,700,800
163.103997,21.4405355,800,800
163.0836,21.4413194,900,800
163.063203,21.4421009,1000,800
163.042807,21.4428798,1100,800
163.022412,21.4436562,1200,800
163.002017,21.4444301,1300,800
162.981623,21.4452014,1400,800
162.961228,21.4459703,1500,800
162.940834,21.4467367,1600,800
162.92044,21.4475006,1700,800
162.900045,21.4482619,1800,800
162.879651,21.4490208,1900,800
162.859256,21.4497773,2000,800
162.838861,21.4505312,2100,800
162.818465,21.4512826,2200,800
162.798068,21.4520316,2300,800
162.777671,21.4527781,2400,800
162.757273,21.4535222,2500,800
162.736874,21.4542638,2600,800
162.716474,21.4550029,2700,800
162.696073,21.4557396,2800,800
162.67567,21.4564738,2900,800
162.655267,21.4572056,3000,800
162.634861,21.4579349,3100,800
162.614455,21.4586617,3200,800
162.594046,21.4593862,3300,800
162.573636,21.4601082,3400,800
162.553224,21.4608277,3500,800
162.53281,21.4615449,3600,800
162.512394,21.4622596,3700,800
162.491975,21.4629719,3800,800
162.471555,21.4636817,3900,800
162.451336,21.4643821,3999,800
163.266407,21.4179365,0,900
163.246003,21.4187407,100,900
163.2256,21.4195422,200,900
163.205199,21.4203413,300,900
163.184799,21.4211378,400,900
